PREDSEDNICKIIZBORIodržani13.juna2004.prvikrug,VAR00001,V2,,V3,V4,V5,V6,V7,V8,V9,Ljiljana Aranđelović,Vladan Batić,Ivica Dačić,Milovan Drecun,Dragan Djordjević,Branislav Ivković,Mirko Jović,Jelisaveta Karađorđević,Bogoljub Karić,Dragan Maršićanin,Zoran Milinković,Tomislav Nikolić,Borislav Pelević,Marijan Rističević,Boris Tadić
33001,Australija,1,,128,50,128,78,78,0,78,1,0,0,0,0,2,0,1,20,17,2,2,1,1,31
33002,Austrija,1,,645,201,641,444,444,3,441,1,1,19,0,1,2,0,13,140,62,3,69,5,1,124
33003,Belgija,1,,112,16,112,96,96,1,95,0,0,2,0,0,1,0,4,9,12,2,5,1,2,57
33004,Velika Britanija,1,,311,90,311,221,221,1,220,1,0,1,0,0,2,0,4,18,44,2,18,2,2,126
33005,Gr~ka,1,,126,36,125,90,90,1,89,2,0,1,0,0,2,0,4,13,14,1,8,2,2,40
33006,Italija,1,,209,95,208,114,114,2,112,0,3,2,0,0,2,0,7,10,18,3,5,1,1,60
33007,Kanada,1,,264,128,264,136,136,0,136,0,0,0,0,0,1,0,6,4,24,2,20,2,0,77
33008,Kipar,1,,126,31,126,95,95,2,93,2,0,2,1,1,2,0,6,15,18,2,4,2,2,36
33009,Libija,1,,133,31,132,102,102,1,101,3,0,2,0,0,2,0,2,16,22,2,21,1,0,30
33011,Ruska Federacija,1,,796,468,790,328,328,5,323,2,4,4,0,3,3,4,11,42,59,2,54,3,1,131
33012,Savezna Republika Nema~ka,1,,240,27,238,213,213,0,213,0,1,4,1,4,2,3,6,39,30,3,45,1,2,72
33013,Sjedinjene Ameri~ke Dr`ave,1,,137,32,137,105,105,0,105,0,0,0,0,0,0,0,4,6,19,1,4,0,2,69
33014,Slova~ka,1,,117,52,117,65,65,0,65,0,1,2,0,0,2,0,4,8,13,2,5,2,0,26
33015,Francuska,1,,644,111,640,533,533,2,531,1,0,9,0,2,4,2,10,152,99,20,113,10,1,108
33016,Holandija,1,,117,25,117,92,92,1,91,0,0,2,0,0,2,0,2,15,10,0,19,2,2,37
33017,^e{ka Republika,1,,124,8,123,116,116,0,116,0,0,2,0,0,2,0,4,9,17,2,4,0,1,75
33018,[vajcarska,1,,236,56,234,180,180,0,180,1,1,5,0,3,3,0,3,31,23,3,62,2,0,43
55001,Zavodi za izvr{enje zavodskih sankcija,1,,923,308,923,615,615,6,609,1,4,3,2,0,0,1,31,42,44,0,437,2,1,41
70017,Aleksandrovac,1,,249,104,249,145,145,1,144,2,1,6,0,2,3,2,0,14,8,0,65,2,1,38
70025,Aleksinac,1,,296,155,296,141,141,2,139,2,0,15,0,1,0,1,1,23,11,0,71,1,2,11
70033,Aran|elovac,1,,1568,751,1568,817,816,15,801,2,3,21,3,1,0,0,17,139,123,3,359,6,2,122
70041,Ariqe,1,,824,332,824,492,492,7,485,0,1,28,4,0,5,3,16,67,102,1,103,3,1,151
70050,Babu{nica,1,,582,281,582,301,301,3,298,0,14,19,2,0,1,3,4,59,43,1,91,6,1,54
70068,Bajina Ba{ta,1,,779,376,779,403,403,5,398,0,0,20,2,0,6,0,5,54,101,0,112,3,0,95
70076,Bato~ina,1,,121,40,121,81,81,0,81,1,0,8,0,0,4,1,3,7,27,0,9,2,6,13
70084,Bela Palanka,1,,293,122,293,171,171,3,168,1,1,9,3,0,3,0,5,26,14,0,55,0,3,48
70092,Barajevo,1,,708,394,708,314,314,3,311,1,3,13,1,0,2,0,3,41,79,0,92,4,3,69
70106,Vo`dovac,1,,2101,1150,2101,951,950,19,931,2,5,15,5,3,2,1,19,210,123,3,263,5,3,272
70114,Vra~ar,1,,904,431,904,473,473,6,467,0,1,11,0,0,2,1,12,51,78,0,51,0,1,259
70122,Grocka,1,,1746,1127,1746,619,619,13,606,4,2,32,0,3,3,1,16,102,110,0,238,3,2,90
70149,Zvezdara,1,,2019,1025,2019,994,994,5,989,4,1,24,1,0,1,0,26,141,182,0,143,3,0,463
70157,Zemun,1,,1092,543,1092,549,549,2,547,2,0,10,1,0,3,2,12,66,131,0,75,0,0,245
70165,Lazarevac,1,,691,294,691,397,395,5,390,0,0,23,2,0,0,1,2,51,105,1,64,0,0,141
70173,Mladenovac,1,,848,379,948,469,469,8,461,2,2,27,6,1,3,0,16,113,67,0,123,0,0,101
70181,Novi Beograd,1,,2526,1649,2326,877,877,13,864,3,3,24,5,2,1,0,10,204,98,1,303,4,1,205
70190,Obrenovac,1,,858,456,858,402,402,5,397,0,10,24,0,0,0,0,7,82,56,2,107,0,0,109
70203,Palilula,1,,1269,596,1269,673,673,5,668,0,2,25,1,0,5,0,16,72,132,0,94,3,3,315
70211,Rakovica,1,,1676,836,1676,840,840,11,829,2,4,29,1,0,0,0,24,181,125,0,180,3,0,280
70220,Savski Venac,1,,1279,682,1277,597,597,6,591,0,2,13,2,1,1,1,13,106,103,1,116,2,0,230
70238,Sopot,1,,235,119,235,116,116,1,115,3,0,4,0,1,1,0,6,17,7,0,58,2,0,16
70246,Stari Grad,1,,1248,500,1248,748,748,5,743,0,2,13,3,4,0,0,18,108,144,1,107,0,0,343
70254,^ukarica,1,,2357,1231,2357,1126,1126,14,1112,2,4,27,3,0,1,1,43,199,182,0,233,3,0,414
70262,Blace,1,,1301,715,1303,586,586,7,579,2,5,23,2,1,6,2,7,79,127,1,182,5,0,137
70289,Bogati},1,,934,609,934,325,325,5,320,0,0,60,3,0,4,1,4,18,17,1,195,0,1,16
70297,Bojnik,1,,603,299,603,304,304,0,304,0,11,17,3,0,7,3,31,54,27,0,104,1,4,42
70319,Boqevac,1,,337,199,337,138,138,3,135,2,0,20,0,0,1,0,1,5,12,0,56,3,7,28
70327,Bor,1,,879,534,879,345,345,6,339,1,2,8,1,1,2,0,8,152,27,1,92,2,2,40
70335,Bosilegrad,1,,695,262,695,433,433,15,418,0,2,12,1,4,0,0,5,71,159,0,53,0,5,106
70343,Brus,1,,401,227,401,174,174,2,172,4,3,8,1,0,1,0,2,23,33,0,61,1,1,34
70351,Bujanovac,1,,1289,1288,1289,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70360,Vaqevo,1,,1652,750,1652,902,902,21,881,0,2,40,10,0,5,0,12,167,201,0,178,0,1,265
70378,Varvarin,1,,510,356,510,154,154,1,153,1,0,13,1,1,0,0,12,32,26,0,39,0,0,28
70386,Velika Plana,1,,891,599,891,292,292,2,290,4,1,20,0,0,1,0,1,55,24,0,135,6,0,43
70394,Veliko Gradi{te,1,,451,281,451,170,170,0,170,0,1,36,2,0,1,0,4,27,9,0,59,1,1,29
70408,Vladimirci,1,,461,260,461,201,201,6,195,4,0,14,2,1,1,0,4,23,31,0,94,0,1,20
70416,Vladi~in Han,1,,506,215,506,291,291,3,288,1,1,20,1,1,0,1,5,47,68,1,89,6,0,47
