,Економска класификација,ОПИС,Приходи из буџета   ,Сопствени приходи ,Донације од осталих нивоа власти ,Остали,УКУПНО,,,
,41,Расходи за запослене,"310,607,341",,,,"310,607,341",,,
,411,"Плате, додаци и накнаде запослених","242,413,605",,,,"242,413,605",,,
,412,Социјални доприноси на терет послодавца,"43,845,971",,,,"43,845,971",,,
,413,Накнаде у натури,"8,423,000",,,,"8,423,000",,,
,414,Социјална давања запосленима,"11,895,765",,,,"11,895,765",,,
,415,Накнада трошкова за запослене,"764,000",,,,"764,000",,,
,416,Накнаде запосленима и остали посебни расходи,"2,000,000",,,,"2,000,000",,,
,417,Одборнички додатак,"1,265,000",,,,"1,265,000",,,
,,,,,,,,,,
,42,Коришћење услуга и роба,"151,039,000",,,,"151,039,000",,,
,421,Стални трошкови,"56,660,000",,,,"56,660,000",,,
,422,Трошкови путовања,"270,000",,,,"270,000",,,
,423,Услуге по уговору,"34,169,000",,,,"34,169,000",,,
,424,Специјализоване услуге,"240,000",,,,"240,000",,,
,425,Текуће поправке и одржавање,"41,320,000",,,,"41,320,000",,,
,426,Материјал,"18,380,000",,,,"18,380,000",,,
,,,,,,,,,,
,46,Донације дотације и трансфери,"37,806,659",,,,"37,806,659",,,
,463,Трансфери осталим нивоима власти,"6,000,000",,,,"6,000,000",,,
,465,Дотације Републици по закону,"31,806,659",,,,"31,806,659",,,
,,,,,,,,,,
,47,Социјално осигурање и социјална заштита,"11,900,000",,,,"11,900,000",,,
,472,Накнаде за социјалну заштиту,"11,900,000",,,,"11,900,000",,,Нови Београд
,,,,,,,,,,
,48,Остали расходи,"110,608,000",,,,"110,608,000",,,
,481,Дотације невладиним организацијама,"10,198,000",,,,"10,198,000",,,
,482,"Порези, обавезне таксе, казне и пенали","63,810,000",,,,"63,810,000",,,
,483,Новчане казне и пенали,"36,600,000",,,,"36,600,000",,,
,,,,,,,,,,
,499,Средства резерве,"1,100,000",,,,"1,100,000",,,
,49911,Стална резерва,"100,000",,,,"100,000",,,
,49912,Текућа резерва,"1,000,000",,,,"1,000,000",,,
,,,,,,,,,,
,51,Основна средства,"9,400,000",,,,"9,400,000",,,
,511,Зграде и грађевински објекти,"4,100,000",,,,"4,100,000",,,
,512,Машине и опрема,"4,300,000",,,,"4,300,000",,,
,515,Нематеријална имовина,"1,000,000",,,,"1,000,000",,,
,,У к у п н и   р  а с х о д и  :,"632,461,000",,,,"632,461,000",,,
