,Економ.класификација,ВРСТА   ПРИХОДА,ПРИХОДИ ИЗ БУЏЕТА ,СОП..ПРИХ.КОРИС.,Остали,УКУПНО
,710000,УКУПНИ ПРИХОДИ И ПРИМАЊА ОД ПРОДАЈЕ НЕФИНАНСИЈСКЕ ИМОВИНЕ (1+2+3+4+5+6),"2.691.819.506,00",,"299.000.000,00","2.990.819.506,00"
,711000,1. Порески приходи,"1.986.771.000,00",,"0,00","1.986.771.000,00"
,711180,"1.1. Порез на доходак, добит и капиталне добитке (осим самодоприноса)","1.433.160.000,00",,"0,00","1.433.160.000,00"
,711180,1.2. Самодопринос,"5.260.000,00",,"0,00","5.260.000,00"
,712000,1.3. Порез на фонд зарада,"1.000,00",,"0,00","1.000,00"
,713000,1.4. Порез на имовину,"437.050.000,00",,"0,00","437.050.000,00"
,714000,1.5. Порез на добра и услуге у чему:,"73.300.000,00",,"0,00","73.300.000,00"
,716000, -накнаде које се користе преко Буџетског фонда за заштиту и унапређење животне средине,"25.000.000,00",,"0,00","25.000.000,00"
,740000,1.6. Остали порески приходи,"38.000.000,00",,"0,00","38.000.000,00"
,,2. Непорески приходи у чему:,"341.028.000,00",,"218.800.000,00","559.828.000,00"
,8,- поједине врсте прихода са одређеном наменом (наменски приходи),"237.778.000,00",,"0,00","237.778.000,00"
,731+732,3. Примања од продаје нефинансијске имовине,"570.000,00",,"20.000,00","590.000,00"
,733000,4. Донације,"4.980.000,00",,"7.500.000,00","12.480.000,00"
,770000,5. Трансфери,"339.670.506,00",,"42.300.000,00","381.970.506,00"
,,6. Меморандумске ставке за рефундацију расхода,"18.800.000,00",,"30.380.000,00","49.180.000,00"
,,УКУПНИ РАСХОДИ И ИЗДАЦИ ЗА НАБАВКУ НЕФИНАНСИЈСКЕ И ФИНАНСИЈСКЕ ИМОВИНЕ (1+2+3+4),"2.984.300.000,00",,"299.000.000,00","3.283.300.000,00"
,41,1. Текући расходи,"1.918.966.875,00",,"264.281.294,00","2.183.248.169,00"
,420000,1.1. Расходи за запослене,"660.042.882,00",,"151.310.939,00","811.353.821,00"
,430000,1.2. Коришћење роба и услуга,"852.973.032,00",,"110.930.350,00","963.903.382,00"
,440000,1.3. Употреба основних средстава,"0,00",,"0,00","0,00"
,450000,1.4. Отплата камата,"9.700.000,00",,"0,00","9.700.000,00"
,470000,1.5. Субвенције,"165.420.000,00",,"0,00","165.420.000,00"
,48+49,1.6. Социјална заштита из буџета,"67.060.000,00",,"0,00","67.060.000,00"
,490000,"1.7. Остали расходи, у чему:","163.770.961,00",,"2.040.005,00","165.810.966,00"
,480000, - Средства резерви,"31.618.000,00",,"0,00","31.618.000,00"
,460000, - Остали расходи,"132.152.961,00",,"2.040.005,00","134.192.966,00"
,5,2. Трансфери,"548.778.061,00",,"16.184.551,00","564.962.612,00"
,6200000,3. Издаци за набавку нефинансијске имовине ,"516.555.064,00",,"18.534.155,00","535.089.219,00"
,,4. Издаци за набавку финансијске имовине (осим 6211),"0,00",,"0,00","0,00"
,920000,ПРИМАЊА ОД ПРОДАЈЕ ФИНАНСИЈСКЕ ИМОВИНЕ И ЗАДУЖИВАЊА ,,,,
,910000,1. Примања по основу отплате кредита и продаје финансијске имовине,"2.180.494,00",,"0,00","2.180.494,00"
,,2. Задуживање,"140.000.000,00",,"0,00","140.000.000,00"
,,2.1.Задуживање код домаћих кредитора ,"140.000.000,00",,"0,00","140.000.000,00"
,Економска класификација,2.2.Задуживање код страних кредитора,"0,00",,"0,00","0,00"
,2,ОПИС,СРЕДСТВА ИЗ БУЏЕТА,,СРЕДСТВА ИЗ ОСТАЛИХ ИЗВОРА,УКУПНА ЈАВНА СРЕДСТВА
,,1,3,,4,5
,610000,ОТПЛАТА ДУГА И НАБАВКА ФИНАНСИЈСКЕ ИМОВИНЕ,,,,
,611000,3. Отплата дуга,"49.700.000,00",,"0,00","49.700.000,00"
,612000,3.1. Отплата дуга домаћим кредиторима,"49.700.000,00",,"0,00","49.700.000,00"
,613000,3.2. Отплата дуга страним кредиторима,"0,00",,"0,00","0,00"
,621100,3.3. Отплата дуга по гаранцијама,"0,00",,"0,00","0,00"
,,4. Набавка финансијске имовине,"0,00",,"0,00","0,00"
