,Економ.класификација,ВРСТА   ПРИХОДА,ПРИХОДИ ИЗ БУЏЕТА ,СОП..ПРИХ.КОРИС.,Остали,УКУПНО
,,"ПОРЕЗИ НА ДОХОДАК, ДОБИТ И КАПИТАЛНЕ ДОБИТКЕ","892,800,000.00",,,"892,800,000.00"
,711110,Порез на зараде,"705,300,000.00",,,"705,300,000.00"
,711120,Порез на приходе од самосталних делатности,"90,000,000.00",,,"90,000,000.00"
,711140,Порез на приходе од имовине,"30,000,000.00",,,"30,000,000.00"
,711160,Порез на приходе од осигурања лица,"500,000.00",,,"500,000.00"
,711180,Самодопринос,"2,000,000.00",,,"2,000,000.00"
,711190,Порез на друге приходе,"65,000,000.00",,,"65,000,000.00"
,,,,,,
,,ПОРЕЗ НА ИМОВИНУ,"332,100,000.00",,,"332,100,000.00"
,713120,Порез на имовину,"240,000,000.00",,,"240,000,000.00"
,713310,Порез на наслеђе и поклон,"12,000,000.00",,,"12,000,000.00"
,713420,Порез на капиталне трансакције,"80,000,000.00",,,"80,000,000.00"
,713610,Порез на акције на име и уделе,"100,000.00",,,"100,000.00"
,,,,,,
,,ПОРЕЗИ НА ДОБРА И УСЛУГЕ,"58,000,000.00",,,"58,000,000.00"
,714430,Комунална такса за коришћење рекламних паноа,"900,000.00",,,"900,000.00"
,714510,"Порези, таксе и накнаде на моторна возила","29,000,000.00",,,"29,000,000.00"
,714540,Накнаде за коришћење добара од општег интереса,"2,000,000.00",,,"2,000,000.00"
,714550,Концесионе накнаде и боравишне таксе,"600,000.00",,,"600,000.00"
,714560,Општинске и градске накнаде,"25,000,000.00",,,"25,000,000.00"
,714570,Општинске комуналне таксе,"500,000.00",,,"500,000.00"
,,,,,,
,,ДРУГИ ПОРЕЗИ,"60,000,000.00",,,"60,000,000.00"
,716110,Комунална такса на фирму,"60,000,000.00",,,"60,000,000.00"
,,,,,,
,,ДОНАЦИЈЕ ОД МЕЂУНАРОДНИХ ОРГАНИЗАЦИЈА,"1,500,000.00",,,"1,500,000.00"
,732150,Текуће донације од међ. орг. у корист нивоа општина,"1,000,000.00",,,"1,000,000.00"
,732250,Капиталне донације од међ. орг. у корист нивоа општина,"500,000.00",,,"500,000.00"
,,,,,,
,,ТРАНСФЕРИ ОД ДРУГИХ НИВОА ВЛАСТИ,"970,000,000.00","13,000,000.00",,"983,000,000.00"
,733150,Текући трансфери од других нивоа власти у корист нивоа општине,"250,000,000.00","13,000,000.00",,"263,000,000.00"
,733250,Капитални трансфери од других нивоа власти у корист нивоа општине,"720,000,000.00",,,"720,000,000.00"
,,,,,,
,,,,,,
,,ПРИХОДИ ОД ИМОВИНЕ,"215,000,000.00",,,"215,000,000.00"
,741150,Камате на средства буџета општина,"5,000,000.00",,,"5,000,000.00"
,741520,Накнада за коришћење шумског и пољопривредног земљишта,"150,000,000.00",,,"150,000,000.00"
,741530,Накнада за коришћење простора и грађевинског земљишта,"60,000,000.00",,,"60,000,000.00"
,,,,,,
,,ПРИХОДИ ОД ПРОДАЈЕ ДОБАРА И УСЛУГА,"210,100,000.00","7,448,000.00",,"217,548,000.00"
,742150,Приходи од продаје добара и услуга или закупа одстране тржишних организација у корист нивоа општина,"80,000,000.00","5,448,000.00",,"85,448,000.00"
,742250,Таксе у корист нивоа општина,"130,000,000.00",,,"130,000,000.00"
,742350,Приходи општ.орг. од споредне продаје доб.и услуга које врше државне нетржишне јединице,"100,000.00",,,"100,000.00"
,742370,Приходи индиректних корисника буџетских средстава који се остварују додатним активностима,,"2,000,000.00",,"2,000,000.00"
,,,,,,
,,НОВЧАНЕ КАЗНЕ И ОДУЗЕТА ИМОВИНСКА КОРИСТ,"13,000,000.00",,,"13,000,000.00"
,743320,Приходи од новчаних казни за прекршаје у корист нивоа Републике,"9,000,000.00",,,"9,000,000.00"
,743350,Приходи од новчаних казни у корист нивоа општина,"4,000,000.00",,,"4,000,000.00"
,,,,,,
,,ДОБРОВОВОЉНИ ТРАНСФЕРИ ОД ФИЗИЧКИХ И ПРАВНИХ ЛИЦА,0,"2,300,000.00",,"2,300,000.00"
,744150,Текући добровољни трансфери од физичких и правних лица у корист нивоа општина,,"2,300,000.00",,"2,300,000.00"
,,,,,,
,,МЕШОВИТИ И НЕОДРЕЂЕНИ ПРИХОДИ,"40,660,000.00","46,860,000.00",,"87,520,000.00"
,745150,Мешовити и неодређени приходи у корист нивоа општина,"40,660,000.00","46,860,000.00",,"87,520,000.00"
,,,,,,
,,МЕМОРАНДУМСКЕ СТАВКЕ ЗА РЕФУНДАЦИЈУ РАСХОДА,0,"8,200,000.00",,"8,200,000.00"
,771110,Меморандумске ставке за рефундацију расхода,,"8,200,000.00",,"8,200,000.00"
,,,,,,
,,ПРИМАЊА ОД ПРОДАЈЕ РОБЕ ЗА ДАЉУ ПРОДАЈУ,0,"4,450,000.00",,"4,450,000.00"
,823150,Примања од продаје робе за даљу продају у корист нивоа општина,,"4,450,000.00",,"4,450,000.00"
,,,,,,
,,,,,,
,,ПРИМАЊА ОД ПРОДАЈЕ ЗЕМЉИШТА,"156,000,000.00",,,"156,000,000.00"
,841150,Примања од продаје земљишта у корист нивоа општина,"156,000,000.00",,,
,,,,,,
