,Економ.класификација,ВРСТА   ПРИХОДА,ПРИХОДИ ИЗ БУЏЕТА ,СОП..ПРИХ.КОРИС.,Остали,УКУПНО
,,Нерас.вишак прихода и примања или дефицит из ранијих год.,,,,"180.000.000,00"
,710000,Порези,,,,"1.744.570.000,00"
,711000,"Порез на доходак, добит и капиталне добитке",,,,"1.251.450.000,00"
,7111000,Порези на доходак и капиталне добитке које плаћају физичка лица,,,,"1.251.450.000,00"
,711110,Порез на зараде,,,,"1.058.800.000,00"
,711120,Порез на приходе од самосталних делатности,,,,"100.000.000,00"
,711140,Порез на приходе од имовине,,,,"5.800.000,00"
,711160,Порез на приходе од осигурања лица,,,,"50.000,00"
,711190,Порез на друге приходе,,,,"86.800.000,00"
,713000,Порез на имовину,,,,"363.305.000,00"
,713100,Периодични порези на непокретности,,,,"285.300.000,00"
,713120,Порез на имовину,,,,"285.300.000,00"
,713300,"Порез на заоставштину, наслеђе и поклон",,,,"15.000.000,00"
,713310,Порез на наслеђе и поклон,,,,"15.000.000,00"
,713400,Порез на финансијске и капиталне трансакције,,,,"63.000.000,00"
,713420,Порез на капиталне трансакције,,,,"63.000.000,00"
,713600,Други периодични порези на имовину,,,,"5.000,00"
,713610,Порез на акције на име и уделе,,,,"5.000,00"
,714000,Порез на добра и услуге,,,,"73.315.000,00"
,714500,"Порези, таксе и накнаде на употребу добара, на дозволу да се добра употребљавају или делатности обављају",,,,"73.315.000,00"
,714510,"Порез, таксе и накнаде на моторна возила",,,,"50.015.000,00"
,714540,Накнаде за коришћење добара од општег интереса,,,,"1.700.000,00"
,714550,Концесионе накнаде и боравишне таксе,,,,"1.500.000,00"
,714560,Општинске и градске накнаде,,,,"20.000.000,00"
,714570,Општинске и градске комуналне таксе,,,,"100.000,00"
,716000,Други порези,,,,"56.500.000,00"
,716100,"Други порези које искључиво плаћају предузећа, односно предузетници",,,,"56.500.000,00"
,716110,Комунална такса на фирму,,,,"56.500.000,00"
,730000,Донације и трансфери,,,,"748.800.000,00"
,731000,Донације од иностраних држава,,,,"0,00"
,731100,Текуће донације од иностраних држава,,,,"0,00"
,731140,Текуће донације од иностраних држава у корист нивоа градова,,,,"0,00"
,731200,Капиталне донације од иностраних држава,,,,"0,00"
,731240,Капиталне донације од иностраних држава у корист нивоа градова,,,,"0,00"
,732000,Донације од међународних органзација,,,,"0,00"
,732100,Текуће донације од међународних органзација,,,,"0,00"
,732140,Текуће донације међународних организација у корист нивоа градова,,,,"0,00"
,732200,Капиталне донације од међународних органзација,,,,"0,00"
,732240,Капиталне донације међународних организација у корист нивоа градова,,,,"0,00"
,733000,Трансфери од других нивоа власти,,,,"748.800.000,00"
,733100,Текући трансфери од других нивоа власти,,,,"748.800.000,00"
,733140,Текући трансфери од других нивоа власти у корист нивоа градова,,,,"748.800.000,00"
,733200,Капитални трансфери од  других нивоа власти,,,,"0,00"
,733240,Капитални трансфери од других нивоа власти у корист нивоа градова,,,,"0,00"
,740000,Други приходи,,,,"541.757.167,00"
,741000,Приходи од имовине,,,,"440.777.167,00"
,7411000,Камате,,,,"25.000.000,00"
,741140,Камате на средства консолидованог рачуна трезора града,,,,"25.000.000,00"
,741200,Дивиденде,,,,"0,00"
,741240,Дивиденде буџета града,,,,"0,00"
,7414000,Приходи од имовине који припада имаоцима полисе осигурања,,,,"500.000,00"
,741410,Приходи од имовине који припада имаоцима полиса осигурања,,,,"500.000,00"
,741500,Закуп непроизведене имовине,,,,"415.277.167,00"
,741510,Накнада за коришћење природних добара,,,,"0,00"
,741520,Накнада за коришћење шумског и пољопривредног земљишта,,,,"3.400.000,00"
,741530,Накнада за коришћење простора и грађевинског земљишта,,,,"411.867.167,00"
,741540,"Накнаде за коришћење речних обала, туристичких погодности и бања",,,,"0,00"
,741550,Накнада за коришћење добара од општег интереса у произвдњи електричне енергије и производњи нафте и гаса,,,,"0,00"
,741560,Коришћење ваздухопловног простора,,,,"10.000,00"
,742000,Приходи од продаје добара и услуга,,,,"66.700.000,00"
,742100,Приходи од продаје добара и услуга или закупа од стране тржишних организација,,,,"28.200.000,00"
,742140,Приходи од продаје добара или услуга од стране тржишних организација у корист нивоа градова,,,,"28.200.000,00"
,742200,Таксе и накнаде,,,,"26.500.000,00"
,742240,Таксе у корист нивоа града,,,,"1.500.000,00"
,742250,Таксе у корист нивоа општине,,,,"25.000.000,00"
,742300,Споредне продаје добара и услуга које врше државне нетржишне јединице,,,,"12.000.000,00"
,742340,Приходи буџета града од споредне продаје добара и услуге које врше државне нетржишне јединице,,,,"12.000.000,00"
,743000,Новчане казне и одузета имовинска корист,,,,"19.280.000,00"
,743300,Приходи од новчаних казни за прекршаје ,,,,"19.260.000,00"
,743320,Приходи од новчаних казни за прекршаје у корист нивоа Републике,,,,"17.500.000,00"
,743340,Приходи од новчаних казни за прекршаје у корист нивоа градова,,,,"1.760.000,00"
,743350,Приходи од новчаних казни за прекршаје у корист нивоа општина,,,,"0,00"
,743400,Приходи од пенала,,,,"0,00"
,743440,Приходи од пенала у корист нивоа градова,,,,"0,00"
,743500,Приходи од одузете имовинске користи,,,,"20.000,00"
,743520,Приходи од одузете имовинске користи у корист нивоа Републике,,,,"20.000,00"
,744000,Добровољни трансфери од физичких и правних лица,,,,"0,00"
,744100,Текући добровољни трансфери од физичких и правних лица,,,,"0,00"
,744140,Текући добровољни трансфери од физичких и правних лица у корист нивоа градова,,,,"0,00"
,744200,Капитални добровољни трансфери од физичких и правних лица ,,,,"0,00"
,744240,Капит. добровољни трансф. од физичких и правних лица у корист нивоа градова,,,,"0,00"
,745000,Мешовити и неодређени приходи,,,,"15.000.000,00"
,745100,Мешовити и неодређени приходи,,,,"15.000.000,00"
,745140,Мешовити и неодређени приходи у корист нивоа градова,,,,"15.000.000,00"
,770000,Меморандумске ставке за рефундацију расхода,,,,"2.000.000,00"
,771000,Меморандумске ставке за рефундацију расхода,,,,"1.500.000,00"
,771100,Меморандумске ставке за рефундацију расхода,,,,"1.500.000,00"
,771110,Меморандумске ставке за рефундацију расхода,,,,"1.500.000,00"
,772000,Меморандумске ставке за рефундацију расхода из претходне године,,,,"500.000,00"
,772100,Меморандумске ставке за рефундацију расхода из претходне године,,,,"500.000,00"
,772110,Меморандумске ставке за рефундацију расхода из претходне године,,,,"500.000,00"
,810000,Примања од продаје основних средстава,,,,"0,00"
,811000,Примања од продаје непокретности,,,,"0,00"
,811100,Примања од продаје непокретности,,,,"0,00"
,811140,Примања од продаје непокретности у корист нивоа градова,,,,"0,00"
,812000,Примања од продаје покретне имовине,,,,"0,00"
,812100,Примања од продаје покретне имовине,,,,"0,00"
,812140,Примања од продаје покретних ствари у корист нивоа градова,,,,"0,00"
,813000,Примања од продаје осталих основних средстава,,,,"0,00"
,813100,Примања од продаје осталих основних средстава,,,,"0,00"
,813140,Примања од продаје осталих основних средстава у корист нивоа градова,,,,"0,00"
,840000,Примања од продаје природне имовине,,,,"12.000.000,00"
,841000,Примања од продаје земљишта,,,,"12.000.000,00"
,841100,Примања од продаје земљишта,,,,"12.000.000,00"
,841140,Примања од продаје земљишта у корист нивоа градова,,,,"12.000.000,00"
,900000,Примања од задужења,,,,"250.000.000,00"
,911000,Примања од домаћих задужења,,,,"250.000.000,00"
,911110,"Примања од емитовања домаћих хартија од вредности, изузев акција",,,,"0,00"
,911140,"Примања од емитовања домаћих хартија од вредности, изузев акција, у корист нивоа градова",,,,"0,00"
,911200,Примања од задуживања од осталих нивоа власти,,,,"0,00"
,911240,Примања од задуживања од осталих нивоа власти у корист нивоа градова,,,,"0,00"
,911400,Примања од задуживања од пословних банака у земљи,,,,"250.000.000,00"
,911440,Примања од задуживања од пословних банака у земљи у корист нивоа градова,,,,"250.000.000,00"
,920000,Примања од продаје финансијске имовине,,,,"15.000.000,00"
,921000,Примања од продаје домаће финансијске имовине,,,,"15.000.000,00"
,921600,Примања од отплате кредита датих физичким лицима и домаћинствима у земљи,,,,"15.000.000,00"
,921640,Примања од отплате кредита датих домаћин. у земљи у корист нивоа градова,,,,"15.000.000,00"
,921900,Примања од продаје домаћих акција и осталог капитала ,,,,"0,00"
,921940,Примања од продаје домаћих акција и осталог капитала у корист нивоа града,,,,"0,00"
,,УКУПНИ ПРИХОДИ И ПРИМАЊА  (7+8+9):,,,,"3.314.127.167,00"
,,,,,,"3.494.127.167,00"
