,Економ.класификација,ВРСТА   ПРИХОДА,ПРИХОДИ ИЗ БУЏЕТА ,СОП..ПРИХ.КОРИС.,Остали,УКУПНО
,71,ТЕКУЋИ ПРИХОДИ,,,,
,711111,Порез на зараде,,,,263.884.045
,711147,Порез на земљиште,,,,
,713120,Порез на имовину,,,,222.644.682
,713121,Порез на имовину од физичких лица,,,,
,713122,Порез на имовину од правних лица,,,,
,713311,Порез на наслеђе и поклон,,,,12.736.246
,,СВЕГА  71 :,,,,499.264.973
,,,,,,
,,,,,,
,74,ДРУГИ ПРИХОДИ,,,,
,741151,Приход од камата ,,,,3.000.000
,742151,Приходи од продаје добара и услуга од стране,,,,69.000.000
,,тржишних организација у корист нивоа општине,,,,
,742152,Приход од закупа пословног простора ( са ПДВ-еом ),,,,48.185.249
,742251,Општинске административне таксе,,,,2.500.000
,742351,"Приходи које својом делатношћу остварују општински органи, организације и службе",,,,8.364.376
,743351,Приходи од новчаних казни,,,,732
,743353,Приходи од мандатних казни,,,,100
,,лица у корист нивоа општина,,,,
,745151,Остали приходи у корист нивоа општина,,,,1.314.402
,,СВЕГА 74,,,,133.196.027
,,УКУПНИ ПРИХОДИ :,,,,632.461.000
