,Економ.класификација,ВРСТА   ПРИХОДА,ПРИХОДИ ИЗ БУЏЕТА ,СОП..ПРИХ.КОРИС.,Остали,УКУПНО
,3,4,5,6,,
,321,Пренети  вишак  прихода из претходне године,,0,,
,321311,Пренети  вишак  прихода из претходне године,"50,000,000",,,"996,198"
,711000,ПОРЕЗ НА ДОХ. И КАПИТ.ДОБИТ,"261,000,000",0,0,#REF!
,711110,Порез  на  зараде,"215,000,000",,,#REF!
,711120,Порез на приходе  од самосталних делатности,"20,000,000",,,#REF!
,711140,Порез  на приход од имовине,"1,000,000",,,#REF!
,711190,Порез  на друге  приходе,"25,000,000",,,#REF!
,712000,ПОРЕЗ  НА  ФОНД  ЗАРАДА,"1,000",0,0,#REF!
,712110,Порез  на  фонд  зарада,"1,000",,,#REF!
,713000,ПОРЕЗ  НА  ИМОВИНУ,"45,548,618",0,0,#REF!
,713120,Порез  на  имовину,"31,646,120",,,#REF!
,713310,Порез на  наслеђе  и поклоне,"1,000,000",,,#REF!
,713420,Порез  на  пренос  апсолутних права,"12,902,498",,,#REF!
,714000,ПОРЕЗ  НА  ДОБРА  И  УСЛУГЕ,"15,900,000",0,0,#REF!
,714430,Комунална такса за рекламне паное,"600,000",,,#REF!
,714550,Боравишна  такса ,"300,000",,,#REF!
,714510,Порез на држање моторних возила,"15,000,000",,,
,716000,ДРУГИ   ПОРЕЗИ,"15,000,000",0,0,#REF!
,716110,Комуналана такса за истицање фирме,"15,000,000",,,#REF!
,732000,ДОНАЦИЈЕ  -  МЕЂУНАРОДНЕ,"2,000,000",,,#REF!
,732250,Капиталне донације - Међународ.,"2,000,000",,,#REF!
,733,ТРАНСФЕРИ ОД ДРУГИХ НИВОА ВЛАСТИ,"521,132,240",0,"850,000",#REF!
,733150,Трансфери од других нивоа власти-текући,"446,132,240",,"850,000",#REF!
,733250,Трансферна од других нивоа власти-капитални ,"75,000,000",,,#REF!
,741,ПРИХОДИ  ОД  ИМОВИНЕ,"5,000,000",0,,#REF!
,741150,Приходи од камата,"1,000,000",,,#REF!
,741541,Комунална такса за кориш простора за парки,"10,000",,,
,741550,Накнада за  коришћење добара од општег интер.,"4,000,000",,,#REF!
,742,ПРОДАЈА  ДОБАРА И УСЛУГА,"8,400,000",0,0,#REF!
,742150,Приходи  од  закупа,"400,000",,,#REF!
,742250,Накнада за уређење градског земљишта,"8,000,000",,,#REF!
,743,НОВЧАНЕ  КАЗНЕ ЗА  ПРИВРЕДНЕ ПРЕСТУ,"8,170,800",0,0,#REF!
,743350,Приходи од осталих новчаних ,"8,170,800",,,#REF!
,745,МЕШОВИТИ  И  НЕОДРЕЂЕНИ ПРИХОДИ,"24,280,859","27,925,000",0,"52,205,859"
,745150,Мешовити  и  неодређени приходи,"24,280,859","27,925,000",,#REF!
,772,Меморандумске ставке ,"1,800,000",,,"1,800,000"
,772110,Меморандумске ставке ,"1,800,000",,,"1,800,000"
,,УКУПНИ  ПРИХОДИ,"958,233,517","27,925,000","850,000","987,008,517"
