,Економ.класификација,ВРСТА   ПРИХОДА,ПРИХОДИ ИЗ БУЏЕТА ,СОП..ПРИХ.КОРИС.,Остали,УКУПНО
,,ТЕКУЋИ ПРИХОДИ,,,,"2,672,000,000"
,711000,"ПОРЕЗИ НА ДОХОДАК, ДОБИТ И КАПИТАЛНЕ ДОБИТКЕ",,,,
,711110,Порез на зараде,,,,"980,000,000"
,711120,Порез на приходе од самосталне делатности,,,,"70,000,000"
,711140,Порез на приходе од имовине (осим пореза на земљиште),,,,"45,000,000"
,7111470,Порез на земљиште,,,,"10,000,000"
,711190,Порез на друге приходе,,,,"100,000,000"
,,УКУПНО,,,,"1,205,000,000"
,713000,ПОРЕЗИ НА ИМОВИНУ,,,,
,713120,Порез на имовину,,,,"400,000,000"
,713310,Порез на наслеђе и поклон,,,,"6,000,000"
,713420,Порез на капиталне трансакције,,,,"120,000,000"
,,УКУПНО,,,,"526,000,000"
,714000,ПОРЕЗИ НА ДОБРА И УСЛУГЕ,,,,
,714431,Комунална такса за коришћење рекламних паноа,,,,"2,000,000"
,714513,Koмунална такса за држање моторних друмских возила,,,,"45,000,000"
,714552,Боравишна такса,,,,"4,000,000"
,7145,"Општинска и градска накнада - накнада животне средине, накнада за загађивање животне средине",,,,"15,000,000"
,,УКУПНО,,,,"66,000,000"
,716000,КОМУНАЛНА ТАКСА НА ИСТИЦАЊЕ ФИРМЕ,,,,
,716111,Комунална такса на истицање фирме,,,,"45,000,000"
,,УКУПНО,,,,"45,000,000"
,733000,ТРАНСФЕРИ ОД ДРУГИХ НИВОА ВЛАСТИ,,,,
,733148,Текући ненаменски трансфери од других нивоа власти у корист нивоа града,,,,"400,000,000"
,733146,Текући наменски трансфери из буџета АПВ,,,,"9,000,000"
,,УКУПНО,,,,"409,000,000"
,741000,ПРИХОДИ ОД ИМОВИНЕ,,,,
,741141,Камата на средства буџета града,,,,"20,000,000"
,741522,Приходи од издавања у закуп државног пољопривредног земљишта,,,,"156,000,000"
,741531,Комунална такса за коришћење простора,,,,"7,000,000"
,741534,Накнада за коришћење грађевинског земљишта,,,,"20,000,000"
,,УКУПНО,,,,"203,000,000"
,742000,ПРИХОДИ ОД ПРОДАЈЕ ДОБАРА И УСЛУГА,,,,
,742140,Приходи од продаје добара и услуга (од продаје и закупа објеката),,,,"45,000,000"
,742241,Градске административне таксе,,,,"2,000,000"
,742253,Накнада за уређење ГЗ,,,,"50,000,000"
,,УКУПНО,,,,"97,000,000"
,743000,ПРИХОДИ ОД НОВЧАНИХ КАЗНИ,,,,
,74332,Приходи од новчаних казни за саобраћајне прекршаје,,,,"10,000,000"
,74334,Приходи од новч.и мандатних казни за прекрш.у корист нивоа града,,,,"4,000,000"
,,УКУПНО,,,,"14,000,000"
,745000,МЕШОВИТИ И НЕОДРЕЂЕНИ ПРИХОДИ,,,,
,745141,Остали приходи у корист нивоа града,,,,"80,000,000"
,745143,Део добити ЈП према Одлуци УО ЈП у корист нивоа градова,,,,"5,000,000"
,,УКУПНО,,,,"85,000,000"
,770000,МЕМОРАНДУМСКЕ СТАВКЕ ЗА РЕФУНДАЦИЈУ РАСХОДА,,,,
,772113,Меморандумске ставке за рефундацију расхода из претходне године,,,,"2,500,000"
,,УКУПНО,,,,"2,500,000"
,812000,ПРИМАЊА ОД ПРОДАЈЕ ПОКРЕТНЕ ИМОВИНЕ,,,,
,812141,Примања од продаје покретних ствари у корист нивоа градова,,,,"500,000"
,,УКУПНО,,,,"500,000"
,811000,ПРИМАЊА ОД ПРОДАЈЕ НЕПОКРЕТНОСТИ,,,,
,811141,Примање од продаје непокретности у корист нивоа градова,,,,"7,000,000"
,,УКУПНО,,,,"7,000,000"
,921000,ПРИМАЊА ОД ПРОДАЈЕ ДОМАЋЕ ФИНАНС.ИМОВИНЕ,,,,
,921941,Примања од продаје дом.акцијa и ост.капит. у корист нивоа града,,,,"2,000,000"
,,УКУПНО,,,,"2,000,000"
,732000,ДОНАЦИЈЕ ОД МЕЂУНАРОДНИХ ОРГАНИЗАЦИЈА,,,,
,732141,Текуће донације од међународних организација,,,,"10,000,000"
,,УКУПНО,,,,"10,000,000"
,,ТЕКУЋИ ПРИХОДИ БЕЗ ЗАКУПА ПОЉОПРИВРЕДНОГ ЗЕМЉИШТА,,,,"2,516,000,000"
,,ПРИХОДИ БУЏЕТА:,,,,"2,663,000,000"
,,,,,,
,,УКУПНИ ПРИХОДИ БУЏЕТА:,,,,"2,672,000,000"
,,СОПСТВЕНИ ПРИХОДИ БУЏЕТСКИХ КОРИСНИКА:,,,,"65,087,000"
,,НАМЕНСКИ ТРАНСФЕРИ КОРИСНИКА БУЏЕТА:,,,,"105,035,000"
,,ПРИХОДИ ИЗ ОСТАЛИХ ИЗВОРА:,,,,0
,,УКУПНА СРЕДСТВА:,,,,"2,842,122,000"
