,Економ.класификација,ВРСТА   ПРИХОДА,ПРИХОДИ ИЗ БУЏЕТА ,СОП..ПРИХ.КОРИС.,Остали,УКУПНО
,,Пренета средства из претходне године,"  50,000,000      ",,,"  50,000,000      "
,,ТЕКУЋИ ПРИХОДИ ,"  2,084,300,000      ",,"  205,162,000      ","  2,289,462,000      "
,,ПОРЕЗИ,"  1,527,450,000      ",,   -      ,"  1,527,450,000      "
,711000,"ПОРЕЗ НА ДОХОДАК, ДОБИТ И КАПИТАЛНЕ ДОБИТКЕ","  1,084,150,000      ",,   -      ,"  1,084,150,000      "
,711110,Порез на зараде,"  920,000,000      ",,,"  920,000,000      "
,711121,"Порез на приходе од самосталних делатности који се плаћа према стварно оствареном приходу, по решењу Пореске управе","  80,000,000      ",,,"  80,000,000      "
,711122,"Порез на приходе од самосталних делатности који се плаћа према паушално утврђеном приходу, по решењу Пореске управе",,,,   -      
,711123,Порез на приходе од самосталних делатности који се плаћа према стварно оствареном приходу самоопорезивањем,,,,   -      
,711143,Порез на приходе од непокретности,"  4,000,000      ",,,"  4,000,000      "
,711145,Порез на приходе од давања у закуп покретних ствари - по основу самоопорезивања и по решењу Пореске управе ,,,,   -      
,711146,"Порез на приход од пољопривреде и шумарства, по решењу Пореске управе",,,,   -      
,711147,Порез на земљиште,,,,   -      
,711148,"Порез на приходе од непокретности, по решењу Пореске управе",,,,   -      
,711161,Порез на приходе од осигурања лица,"  150,000      ",,,"  150,000      "
,711180,Самодоприноси,,,,   -      
,711191,Порез на друге приходе,"  80,000,000      ",,,"  80,000,000      "
,713000,ПОРЕЗ НА ИМОВИНУ,"  333,000,000      ",,   -      ,"  333,000,000      "
,713121,"Порез на имовину (осим на земљиште, акције и уделе) од физичких лица","  275,000,000      ",,,"  275,000,000      "
,713122,"Порез на имовину (осим на земљиште, акције и уделе) од правних лица",,,,   -      
,,"Порез на имовину (осим на неизграђено земљиште), обвезника који воде пословне књиге                                  ",,,,   -      
,713311,Порез на наслеђе и поклон по решењу Пореске управе,"  3,000,000      ",,,"  3,000,000      "
,713421,"Порез на пренос апсолутних права на непокретности, по решењу Пореске управе","  55,000,000      ",,,"  55,000,000      "
,713422,"Порез на пренос апсолутних права на акцијама и другим хартијама од вредности, по решењу Пореске",,,,
,,управе,,,,
,713423,"Порез на пренос апсолутних права на моторним возилима, пловилима и ваздухопловима, по решењу Пореске управе        ",,,,
,713424,"Порез на пренос апсолутних права у осталим случајевима, по решењу Пореске управе      ",,,,
,713611,Порез на акције на име и уделе,,,,
,714000,ПОРЕЗ НА ДОБРА И УСЛУГЕ,"  75,300,000      ",,   -      ,"  75,300,000      "
,714431,"Комунална такса за коришћење рекламних паноа, укључујући и истицање и исписивање фирме ван пословног простора на објектима и просторима који припадају јединици локалне самоуправе(коловози, тротоари, зелене површине, бандере и сл.)  ","  2,500,000      ",,,"  2,500,000      "
,714513,"Комунална такса за држање моторних друмских и прикључних возила, осим пољопривредних возила и машина","  45,000,000      ",,,"  45,000,000      "
,714543,Накнада за промену намене обрадивог пољопривредног земљишта,"  600,000      ",,,"  600,000      "
,714549,"Накнада од емисије SO2, NO2, прашкастих материја и одложеног отпада",,,,   -      
,714552,Боравишна такса,"  3,000,000      ",,,"  3,000,000      "
,714562,Посебна накнада за заштиту и унапређење животне средине,"  24,000,000      ",,,"  24,000,000      "
,714572,Комунална такса за држање средстава за игру („забавне игре“),"  200,000      ",,,"  200,000      "
,716000,ДРУГИ ПОРЕЗИ,"  35,000,000      ",,   -      ,"  35,000,000      "
,716111,Комунална такса за истицање фирме на пословном простору,"  35,000,000      ",,,"  35,000,000      "
,730000,ДОНАЦИЈЕ И ТРАНСФЕРИ,"  388,050,000      ",,"  10,290,000      ","  398,340,000      "
,732000,ДОНАЦИЈЕ ОД МЕЂ. ОРГАНИЗАЦИЈА,   -      ,,"  7,000,000      ","  7,000,000      "
,732140,Текуће донације од међународних организација у корист нивоа градова,,,"  7,000,000      ","  7,000,000      "
,733000,ТРАНСФЕРИ ОД ДРУГИХ НИВОА ВЛАСТИ,"  388,050,000      ",,"  3,290,000      ","  391,340,000      "
,733144,Текући  трансфери одопштина  у корист нивоа градова,,,"  3,290,000      ","  3,290,000      "
,733142,"Текући наменски трансфери, у ужем смислу, од Републике у корист нивоа градова","  388,050,000      ",,,"  388,050,000      "
,733240,Капитални трансфери од других нивоа власти у корист нивоа градова,,,,   -      
,740000,ДРУГИ ПРИХОДИ,"  168,500,000      ",,"  154,506,000      ","  323,006,000      "
,741000,ПРИХОДИ ОД ИМОВИНЕ,"  85,500,000      ",,   -      ,"  85,500,000      "
,741151,Приходи буџета града од камата на средства консолидованог рачуна трезора укључена у депозит банака,"  5,500,000      ",,,"  5,500,000      "
,741410,Приход од имовине који припада имаоцима полисе осигурања,,,,   -      
,741510,Накнада за коришћење природних добара,"  3,000,000      ",,,"  3,000,000      "
,741520,Накнада за коришћење шумског и пољопривредног земљишта,"  2,000,000      ",,,"  2,000,000      "
,741531,"Комунална такса за коришћење простора на јавним површинама или испред пословног простора у пословне сврхе, осим ради продаје штампе, књига и других публикација, производа старих и уметничких заната и домаће радиности",,,,   -      
,741532,Комунална такса за коришћење простора за паркирање друмских моторних и прикључних возила на,"  75,000,000      ",,,"  75,000,000      "
,,уређеним и обележеним местима,,,,
,741533,"Комунална такса за коришћење слободних површина за кампове, постављање шатора или друге облике привременог коришћења",,,,   -      
,741534,Накнада за коришћење грађевинског земљишта,,,,   -      
,741535,Комунална такса за заузеће јавне површине грађевинским материјалом,,,,   -      
,741542,Накнада за коришћење природног лековитог фактора,,,,   -      
,741560,Накнада за воде,,,,   -      
,742000,ПРИХОДИ ОД ПРОДАЈЕ ДОБАРА И УСЛУГА,"  51,000,000      ",,"  140,406,000      ","  191,406,000      "
,742000,Приходи од  продаје  индиректних корисника буџета,,,"  139,656,000      ","  139,656,000      "
,742143,Приходи од закупнине за грађевинско земљиште у корист нивоа градова,"  8,000,000      ",,,"  8,000,000      "
,742241,Градске административне таксе,"  1,000,000      ",,,"  1,000,000      "
,742252,Накнада за обавезни здравствени преглед биља,,,,   -      
,742253,Накнада за уређивање грађевинског земљишта,"  35,000,000      ",,,"  35,000,000      "
,        742370,Приходи индиректних корисника који се остварују додатним активностима,,,"  750,000      ","  750,000      "
,    742341,Приходи настали продајом услуга корисника средстава буџета јединице локлане самоуправе чије је пружање уговорено са физичким и правним лицима,"  7,000,000      ",,,"  7,000,000      "
,743000,НОВЧАНЕ КАЗНЕ И ОДУЗЕТА ИМОВИНСКА КОРИСТ,"  22,000,000      ",,   -      ,"  22,000,000      "
,743342,"Приходи од новчаних казни за прекршаје, предвиђене прописима о безбедности саобраћаја на путевима","  20,000,000      ",,,"  20,000,000      "
,743340,Приходи од новчаних казни за прекршаје у корист нивоа градова,"  2,000,000      ",,,"  2,000,000      "
,744000,ДОБРОВОЉНИ ТРАНСФЕРИ ОД ФИЗИЧКИХ И ПРАВНИХ ЛИЦА,   -      ,,"  6,100,000      ","  6,100,000      "
,744141,Текући добровољни трансфери од физичких и правних лица у корист нивоа градова,,,"  3,700,000      ","  3,700,000      "
,744241,Капитални добровољни трансфери од физичких и правних лица у корист нивоа градова,,,"  2,400,000      ","  2,400,000      "
,745000,МЕШОВИТИ И НЕОДРЕЂЕНИ ПРИХОДИ,"  10,000,000      ",,"  8,000,000      ","  18,000,000      "
,745141,Остали приходи у корист нивоа градова,"  10,000,000      ",,,"  10,000,000      "
,745140,Мешовити и нродређени приходи у корист нивоа градова,,,"  8,000,000      ","  8,000,000      "
,745153,Део добити јавног предузећа према одлуци управног одбора јавног предузећа у корист нивоа градова,,,,   -      
,771000,МЕМОРАНДУМСКЕ СТАВКЕ ЗА РЕФУНДАЦИЈУ РАСХОДА,"  300,000      ",,"  10,366,000      ","  10,666,000      "
,771100,Меморандумске ставке за рефундацију расхода,"  300,000      ",,"  10,366,000      ","  10,666,000      "
,791110,ПРИХОДИ ИЗ БУЏЕТА,   -      ,,"  30,000,000      ","  30,000,000      "
,791111,Приходи из буџета,,,"  30,000,000      ","  30,000,000      "
,800000,ПРИМАЊА ОД ПРОДАЈЕ НЕФИНАНСИЈСКЕ ИМОВИНЕ,"  104,500,000      ",,"  500,000      ","  105,000,000      "
,810000,ПРИМАЊА ОД ПРОДАЈЕ ОСНОВНИХ СРЕДСТАВА,"  3,000,000      ",,"  500,000      ","  3,500,000      "
,811000,Примања од продаје непокретности,,,,   -      
,812100,Примања од продаје покретне имовине,,,,   -      
,821000,ПРИМАЊА ОД ПРОДАЈЕ РОБНИХ РЕЗЕРВИ,,,,   -      
,821000,Примања од продаје робних резерви,"  3,000,000      ",,,"  3,000,000      "
,823100,Примања од продаје робе за даљу продају,,,"  500,000      ","  500,000      "
,840000,ПРИМАЊА ОД ПРОДАЈЕ ПРИРОДНЕ ИМОВИНЕ,"  101,500,000      ",,,"  101,500,000      "
,841000,Примања од продаје земљишта,"  101,500,000      ",,,"  101,500,000      "
,900000,ПРИМАЊА ОД ЗАДУЖИВАЊА И ПРОДАЈЕ ФИНАНСИЈСКЕ ИМОВИНЕ,"  5,000,000      ",,   -      ,"  5,000,000      "
,910000,ПРИМАЊА ОД ЗАДУЖИВАЊА ,   -      ,,   -      ,   -      
,911400,Примања од задуживања од пословних банака у земљи у корист нивоа градова,,,,   -      
,912000,Примања од иностраног задуживања,,,,   -      
,920000,ПРИМАЊА ОД ПРОДАЈЕ ФИН. ИМОВИНЕ,"  5,000,000      ",,   -      ,"  5,000,000      "
,921900,Примања од продаје домаћих акција и осталог капитала у корист нивоа градова ,"  5,000,000      ",,,"  5,000,000      "
,,ТЕКУЋИ ПРИХОДИ И ПРИМАЊА ОД ЗАДУЖИВАЊА И ПРОДАЈЕ ФИН. ИМОВИНЕ,"  2,193,800,000      ",,"  205,662,000      ","  2,399,462,000      "
,,"УКУПНО ПРЕНЕТА СРЕДСТВА, ТЕКУЋИ ПРИХОДИ И ПРИМАЊА","  2,243,800,000      ",,"  205,662,000      ","  2,449,462,000      "
