,Економ.класификација,ВРСТА   ПРИХОДА,ПРИХОДИ ИЗ БУЏЕТА ,СОП..ПРИХ.КОРИС.,Остали,УКУПНО
,700000,Пренета средства из претходне године,"21,291,000",,"54,852,000","76,143,000"
,710000,ТЕКУЋИ ПРИХОДИ ,"2,118,080,000",,,"2,118,080,000"
,710000,ПОРЕЗИ,"1,285,700,000",,,"1,285,700,000"
,713000,"ПОРЕЗ НА ДОХОДАК, ДОБИТ И КАПИТАЛНЕ ДОБИТКЕ","930,800,000",,,"930,800,000"
,711111,Порез на зараде,"834,000,000",,,"834,000,000"
,711121,"Порез на приходе од самосталних делатности који се плаћа према стварно оствареном приходу, по решењу Пореске управе","4,000,000",,,"4,000,000"
,711122,"Порез на приходе од самосталних делатности који се плаћа према паушално утврђеном приходу, по решењу Пореске управе","25,000,000",,,"25,000,000"
,711123,Порез на приходе од самосталних делатности који се плаћа према стварно оствареном приходу самоопорезивањем,"15,000,000",,,"15,000,000"
,711143,Порез на приходе од непокретности,"200,000",,,"200,000"
,711145,Порез на приходе од давања у закуп покретних ствари - по основу самоопорезивања и по решењу Пореске управе ,"500,000",,,"500,000"
,711146,"Порез на приход од пољопривреде и шумарства, по решењу Пореске управе",,,,0
,711147,Порез на земљиште,"3,000,000",,,"3,000,000"
,711148,"Порез на приходе од непокретности, по решењу Пореске управе","100,000",,,"100,000"
,711161,Порез на приходе од осигурања лица,,,,0
,711181,Самодоприноси,,,,0
,711190,Порез на друге приходе,"49,000,000",,,"49,000,000"
,713000,ПОРЕЗ НА ИМОВИНУ,"210,600,000",,,"210,600,000"
,713121,"Порез на имовину (осим на земљиште, акције и уделе) од физичких лица","90,000,000",,,"90,000,000"
,713122,"Порез на имовину (осим на земљиште, акције и уделе) од правних лица","90,000,000",,,"90,000,000"
,713126,"Порез на имовину (осим на неизграђено земљиште), обвезника који воде пословне књиге                                  ",,,,0
,713311,Порез на наслеђе и поклон по решењу Пореске управе,"1,900,000",,,"1,900,000"
,713421,"Порез на пренос апсолутних права на непокретности, по решењу Пореске управе","19,000,000",,,"19,000,000"
