,Економ.класификација,ВРСТА   ПРИХОДА,ПРИХОДИ ИЗ БУЏЕТА ,СОП..ПРИХ.КОРИС.,Остали,УКУПНО
,321000,I Пренета неутрошена средства из претходне године,,,,"24,203,249"
,711000,"Порез на зараде (9,43% остварених на Општини)",,,,"249,153,253"
,713000,Порез на имовину и земљиште (20% наплаћених на Општини ),,,,"179,884,638"
,741000,Приходи од камата,,,,
,742000,Општинске административне таксе (100 % наплаћених на Општини),,,,"2,000,000"
,742000,Приходи органа,,,,"955,929"
,743000,Приходи од мандатних казни и казни у управном поступку,,,,"350,000"
,745000,Мешовити и неодређени приходи,,,,
,742000,Приходи од закупа пословног простора са ПДВ (70 %),,,,
,742000,Приходи од продаје добара и услуга,,,,
,,II УКУПАН ОБИМ СРЕДСТАВА:,,,,"536,454,470"
,733000,Текући трансфери од града,,,,
,732000,Текуће донације од међународних организација у корист нивоа општина,,,,
,771000,Меморандумске ставке за рефундацију расхода,,,,"3,500,000"
