,Економска класификација,ОПИС,Приходи из буџета   ,Сопствени приходи ,Донације од осталих нивоа власти ,Остали,УКУПНО
,411,"ПЛАТЕ, ДОДАЦИ И НАКНАДЕ ЗАПОСЛЕНИХ (ЗАРАДЕ)","521.811.704,00",,,"102.890.943,00","624.702.647,00"
,412,СОЦИЈАЛНИ ДОПРИНОСИ НА ТЕРЕТ ПОСЛОДАВЦА ,"93.922.057,00",,,"19.965.621,00","113.887.678,00"
,413,НАКНАДЕ У НАТУРИ,"2.948.000,00",,,"265.000,00","3.213.000,00"
,414,СОЦИЈАЛНА ДАВАЊА ЗАПОСЛЕНИМА,"16.941.121,00",,,"25.949.375,00","42.890.496,00"
,415,НАКНАДЕ ТРОШКОВА ЗА ЗАПОСЛЕНЕ,"18.820.000,00",,,"390.000,00","19.210.000,00"
,416,НАГРАДЕ ЗАПОСЛЕНИМА И ОСТАЛИ ПОСЕБНИ РАСХОДИ,"5.600.000,00",,,"1.850.000,00","7.450.000,00"
,41,УКУПНО ,"660.042.882,00",,,"151.310.939,00","811.353.821,00"
,421,СТАЛНИ ТРОШКОВИ,"249.091.100,00",,,"11.217.100,00","260.308.200,00"
,422,ТРОШКОВИ ПУТОВАЊА,"11.155.000,00",,,"19.754.250,00","30.909.250,00"
,423,УСЛУГЕ ПО УГОВОРУ,"170.020.932,00",,,"21.692.000,00","191.712.932,00"
,424,СПЕЦИЈАЛИЗОВАНЕ УСЛУГЕ,"71.108.000,00",,,"15.483.000,00","86.591.000,00"
,425,ТЕКУЋЕ ПОПРАВКЕ И ОДРЖАВАЊЕ,"247.639.000,00",,,"9.834.000,00","257.473.000,00"
,426,МАТЕРИЈАЛ,"103.959.000,00",,,"32.950.000,00","136.909.000,00"
,42,УКУПНО ,"852.973.032,00",,,"110.930.350,00","963.903.382,00"
,441,ОТПЛАТА ДОМАЋИХ КАМАТА,"9.700.000,00",,,"0,00","9.700.000,00"
,44,УКУПНО ,"9.700.000,00",,,"0,00","9.700.000,00"
,4511,ТЕКУЋЕ СУБВЕНЦИЈЕ ЈАВНИМ НЕФИНАНСИЈСКИМ ПРЕДУЗЕЋИМА И ОРГАНИЗАЦИЈАМА,"61.000.000,00",,,"0,00","61.000.000,00"
,4512,КАПИТАЛНЕ СУБВЕНЦИЈЕ ЈАВНИМ НЕФИНАНСИЈСКИМ ПРЕДУЗЕЋИМА И ОРГАНИЗАЦИЈАМА,"80.660.000,00",,,"0,00","80.660.000,00"
,454,СУБВЕНЦИЈЕ ПРИВАТНИМ ПРЕДУЗЕЋИМА,"23.760.000,00",,,"0,00","23.760.000,00"
,45,УКУПНО ,"165.420.000,00",,,"0,00","165.420.000,00"
,462,ДОТАЦИЈЕ МЕЂУНАРДНИМ ОРГАНИЗАЦИЈАМА,"225.000,00",,,"0,00","225.000,00"
,463,ТРАНСФЕРИ ОСТАЛИМ НИВОИМА ВЛАСТИ,"443.545.800,00",,,"0,00","443.545.800,00"
,464,ДОТАЦИЈЕ ОРГАНИЗАЦИЈАМА ОБАВЕЗНОГ СОЦИЈАЛНОГ ОСИГУРАЊА,"30.000.000,00",,,"0,00","30.000.000,00"
,465,ОСТАЛЕ ДОТАЦИЈЕ И ТРАНСФЕРИ,"75.007.261,00",,,"16.184.551,00","91.191.812,00"
,46,УКУПНО ,"548.778.061,00",,,"16.184.551,00","564.962.612,00"
,472,НАКНАДЕ ЗА СОЦИЈАЛНУ ЗАШТИТУ ИЗ БУЏЕТА,"67.060.000,00",,,"0,00","67.060.000,00"
,47,УКУПНО ,"67.060.000,00",,,"0,00","67.060.000,00"
,481,ДОТАЦИЈЕ НЕВЛАДИНИМ ОРГАНИЗАЦИЈАМА,"88.943.449,00",,,"0,00","88.943.449,00"
,482,"ПОРЕЗИ, ОБАВЕЗНЕ ТАКСЕ, КАЗНЕ И ПЕНАЛИ","7.254.512,00",,,"1.440.005,00","8.694.517,00"
,483,НОВЧАНЕ КАЗНЕ И ПЕНАЛИ ПО РЕШЕЊУ СУДОВА,"23.910.000,00",,,"600.000,00","24.510.000,00"
,484,НАКНАДА ШТЕТЕ ЗА ПОВРЕДЕ ИЛИ ШТЕТУ УСЛЕД ЕЛЕМЕНТАРНИХ НЕПОГОДА ИЛИ ДРУГИХ ПРИРОДНИХ УЗРОКА,"2.045.000,00",,,"0,00","2.045.000,00"
,485,НАКНАДЕ ШТЕТЕ ЗА ПОВРЕДЕ ИЛИ ШТЕТУ НАНЕТУ ОД СТРАНЕ ДРЖАВНИХ ОРГАНА,"10.000.000,00",,,"0,00","10.000.000,00"
,48,УКУПНО ,"132.152.961,00",,,"2.040.005,00","134.192.966,00"
,499,СРЕДСТВА РЕЗЕРВЕ (СТАЛНА И ТЕКУЋА РЕЗЕРВА),"31.618.000,00",,,"0,00","31.618.000,00"
,49,УКУПНО ,"31.618.000,00",,,"0,00","31.618.000,00"
,4,УКУПНО,"2.467.744.936,00",,,"280.465.845,00","2.748.210.781,00"
,511,ЗГРАДЕ И ГРАЂЕВИНСКИ ОБЈЕКТИ,"370.581.484,00",,,"8.685.000,00","379.266.484,00"
,512,МАШИНЕ И ОПРЕМА,"76.773.580,00",,,"9.483.155,00","86.256.735,00"
,513,ОСТАЛЕ НЕКРЕТНИНЕ И ОПРЕМА,"300.000,00",,,"0,00","300.000,00"
,514,КУЛТИВИСАНА ИМОВИНА,"6.210.000,00",,,"0,00","6.210.000,00"
,515,НЕМАТЕРИЈАЛНА ИМОВИНА,"7.890.000,00",,,"366.000,00","8.256.000,00"
,51,УКУПНО ,"461.755.064,00",,,"18.534.155,00","480.289.219,00"
,541,ЗЕМЉИШТЕ,"54.800.000,00",,,"0,00","54.800.000,00"
,54,УКУПНО ,"54.800.000,00",,,"0,00","54.800.000,00"
,5,УКУПНО ,"516.555.064,00",,,"18.534.155,00","535.089.219,00"
,4+5,УКУПНО ,"2.984.300.000,00",,,"299.000.000,00","3.283.300.000,00"
,611,ОТПЛАТА ГЛАВНИЦЕ ДОМАЋИМ КРЕДИТОРИМА,"49.700.000,00",,,"0,00","49.700.000,00"
,61,УКУПНО ,"49.700.000,00",,,"0,00","49.700.000,00"
,621,НАБАВКА ДОМАЋА ФИНАНСИЈСКЕ ИМОВИНЕ,"0,00",,,"0,00","0,00"
,,ЕКОНОМСКА КЛАСИФИКАЦИЈА,СРЕДСТВА ИЗ БУЏЕТА,,,СРЕДСТВА ИЗ ОСТАЛИХ ИЗВОРА,УКУПНА ЈАВНА СРЕДСТВА
,62,УКУПНО ,"0,00",,,"0,00","0,00"
,6,УКУПНО ,"49.700.000,00",,,"0,00","49.700.000,00"
,,УКУПНИ РАСХОДИ И ИЗДАЦИ,"3.034.000.000,00",,,"299.000.000,00","3.333.000.000,00"
