,Економска класификација,ОПИС,Приходи из буџета   ,Сопствени приходи ,Донације од осталих нивоа власти ,Остали,УКУПНО
,41,РАСХОДИ ЗА ЗАПОСЛЕНЕ,"272,788,660.00","25,519,893.00",,,"298,308,553.00"
,411,"Плате, додаци и накнаде запослених (зараде)","210,916,460.00","13,781,726.00",,,"224,698,186.00"
,412,Социјални доприноси на терет послодавца,"38,151,200.00","2,483,167.00",,,"40,634,367.00"
,413,Накнаде у натури,"5,500,000.00","340,000.00",,,"5,840,000.00"
,414,Социјална давања запосленима,"7,370,000.00","8,400,000.00",,,"15,770,000.00"
,415,Накнаде трошкова за запослене,"6,960,000.00","265,000.00",,,"7,225,000.00"
,416,Награде запосленима и остали посебни расходи,"3,891,000.00","250,000.00",,,"4,141,000.00"
,,,,,,,
,42,КОРИШЋЕЊЕ УСЛУГА И РОБА,"797,119,802.12","46,265,000.00",,,"843,384,802.12"
,421,Стални трошкови,"107,648,202.12","1,180,000.00",,,"108,828,202.12"
,422,Трошкови путовања,"3,239,800.00","890,000.00",,,"4,129,800.00"
,423,Услуге по уговору,"174,323,200.00","2,780,000.00",,,"177,103,200.00"
,424,Специјализоване услуге,"353,589,200.00","5,260,000.00",,,"358,849,200.00"
,425,Текуће поправке и одржавање,"112,317,000.00","3,075,000.00",,,"115,392,000.00"
,426,Материјал,"46,002,400.00","33,080,000.00",,,"79,082,400.00"
,,,,,,,
,43,АМОРТИЗАЦИЈА И УПОТРЕБА СРЕДСТАВА ЗА РАД,0,"1,050,000.00",,,"1,050,000.00"
,431,Амортизација некретнина и опреме,0,"1,050,000.00",,,"1,050,000.00"
,,,,,,,
,44,ОТПЛАТА КАМАТА И ПРАТЕЋИ ТРОШКОВИ ЗАДУЖИВАЊА,"56,161,600.00","700,000.00",,,"56,861,600.00"
,441,Отплата домаћих камата,"12,425,000.00","450,000.00",,,"12,875,000.00"
,444,Пратећи трошкови задуживања,"43,736,600.00","250,000.00",,,"43,986,600.00"
,,,,,,,
,45,СУБВЕНЦИЈЕ,"43,664,000.00",0,,,"43,664,000.00"
,451,Субвенције јавним нефинансијским предузећима и организ.,"40,664,000.00",0,,,"40,664,000.00"
,454,Субвенције предузећима,"3,000,000.00",0,,,"3,000,000.00"
,,,,,,,
,46,"ДОНАЦИЈЕ, ДОТАЦИЈЕ И ТРАНСФЕРИ","363,875,040.00","1,263,107.00",,,"365,138,147.00"
,463,Трансфери осталим новоима власти,"270,170,000.00",0,,,"270,170,000.00"
,464,Дотације организацијама обавезног социјалног осигурања,"68,000,000.00",0,,,"68,000,000.00"
,465,Остале дотације и трансфери,"25,705,040.00","1,263,107.00",,,"26,968,147.00"
,,,,,,,
,47,СОЦИЈАЛНО ОСИГУРАЊЕ И СОЦИЈАЛНА ЗАШТИТА,"76,264,000.00",0,,,"76,264,000.00"
,472,Накнаде за социјалну заштиту из буџета,"76,264,000.00",0,,,"76,264,000.00"
,,,,,,,
,48,ОСТАЛИ РАСХОДИ,"113,418,000.00","540,000.00",,,"113,958,000.00"
,481,Дотације невладиним организацијама,"74,590,000.00",0,,,"74,590,000.00"
,482,"Порези, обавезне таксе и казне","28,318,000.00","280,000.00",,,"28,598,000.00"
,483,Новчане казне и пенали по решењу судова,"9,510,000.00","260,000.00",,,"9,770,000.00"
,485,Накнада штете,"1,000,000.00",0,,,"1,000,000.00"
,,,,,,,
,49,АДМИНИСТРАТИВНИ ТРАНСФЕРИ ИЗ БУЏЕТА И СРЕДСТВА РЕЗЕРВЕ,"29,800,000.00",0,,,"29,800,000.00"
,499,Средства резерве,"29,800,000.00",0,,,"29,800,000.00"
,,,,,,,
,51,ОСНОВНА СРЕДСТВА,"1,122,568,897.88","4,720,000.00",,,"1,127,288,897.88"
,511,Зграде и грађевински објекти,"1,055,122,897.88",0,,,"1,055,122,897.88"
,512,Машине и опрема,"57,906,000.00","4,120,000.00",,,"62,026,000.00"
,513,Остале некретнине и опрема,"8,440,000.00",0,,,"8,440,000.00"
,515,Нематеријална имовина,"1,100,000.00","600,000.00",,,"1,700,000.00"
,,,,,,,
,52,ЗАЛИХЕ,0,"2,200,000.00",,,"2,200,000.00"
,523,Залихе робе за даљу продају,0,"2,200,000.00",,,"2,200,000.00"
,,,,,,,
,54,ПРИРОДНА ИМОВИНА,"35,500,000.00",0,,,"35,500,000.00"
,541,Земљиште,"35,500,000.00",0,,,"35,500,000.00"
,,,,,,,
,61,ОТПЛАТА ГЛАВНИЦЕ,"38,000,000.00",0,,,"38,000,000.00"
,611,Отплата главнице домаћим кредиторима,"38,000,000.00",0,,,"38,000,000.00"
,,,,,,,
,62,НАБАВКА ФИНАНСИЈСКЕ ИМОВИНЕ,"100,000.00",0,,,"100,000.00"
,621,Набавка домаће финансијске имовине,"100,000.00",0,,,"100,000.00"
,,,,,,,
,,УКУПНО:,"2,949,260,000.00","82,258,000.00",,,"3,031,518,000.00"
