,Економска класификација,ОПИС,Приходи из буџета   ,Сопствени приходи ,Донације од осталих нивоа власти ,Остали,УКУПНО
,411, Плате и додаци запослених,"1,520,000",,,,"1,520,000"
,412,Социјални доприноси на терет послодавца,0,,,,0
,413, Накнаде у натури,0,,,,0
,414, Социјална давања запосленима,0,,,,0
,415, Накнаде за запослене,0,,,,0
,416," Награде, бонуси и остали посебни расходи",0,,,,0
,421,Стални трошкови,"550,000",,,,"550,000"
,422,Трошкови путовања,0,,,,0
,423,Услуге по уговору,"653,200",,,,"653,200"
,424,4Специјализоване услуге,0,,,,0
,425,Текуће поправке и одржавање (услуге и материјали),"184,000",,,,"184,000"
,426,Материјал,"30,000",,,,"30,000"
,472,Накнаде за социјалну заштиту из буџета,"7,230,000",,,,"7,230,000"
,482," Порези, обавезне таксе и казне наметнуте од једног нивоа власти другом",0,,,,0
,483,Новчане казне и пенали по решењу судова и судских тела,0,,,,0
,511, Зграде и грађевински објекти,"650,000",,,,"650,000"
,512,Машине и опрема,"300,000",,,,"300,000"
,541,Земљиште,0,,,,0
,,Извори финансирања:,,,,,
,1,Приходе из буџета;,"10,817,200",,,,"10,817,200"
,2,Трансфере између корисника на истом нивоу;,0,,,,0
,3,Социјалне доприносе;,0,,,,0
,4,Сопствене приходе буџетских корисника;,0,,,,0
,5,Донације од иностраних земаља;,0,,,,0
,6,Донације од међународних организација;,0,,,,0
,7,Донације од осталих нивоа власти;,0,,,,0
,8,Донације од невладиних организација и појединаца;,0,,,,0
,9,Примања од продаје нефинансијске имовине;,0,,,,0
,10,Примања од домаћих задуживања;,0,,,,0
,11,Примања од иностраних задуживања;,0,,,,0
,12,Примања од отплате датих кредита и продаје финансијске имовине;,0,,,,0
,13,Нераспоређени вишак прихода из ранијих година;,"300,000",,,,"300,000"
,14,Неутрошена средства од приватизације из претходних година;,0,,,,0
,15,Неутрошена средства донација из претходних година;,0,,,,0
,16,Родитељски динар за ваннаставне активности.,0,,,,0
,,Укупно за трансфер:,"11,117,200",,,,"11,117,200"
,,Центар за социјални рад,,,,,
,411,Плате и додаци запослених,"1,520,000",,,,"1,520,000"
,412,Социјални доприноси на терет послодавца,,,,,0
,413,Накнаде у натури,,,,,0
,414,Социјална давања запосленима,,,,,0
,415,Накнаде за запослене,,,,,0
,416,"Награде, бонуси и остали посебни расходи",,,,,0
,421,Стални трошкови,"550,000",,,,"550,000"
,422,Трошкови путовања,,,,,0
,423,Услуге по уговору,"55,200",,,,"55,200"
,424,Специјализоване услуге,,,,,0
,425,Текуће поправке и одржавање (услуге и материјали),"184,000",,,,"184,000"
,426,Материјал,"30,000",,,,"30,000"
,472,Накнаде за социјалну заштиту из буџета,,,,,0
,482,"Порези, обавезне таксе и казне наметнуте од једног нивоа власти другом",,,,,0
,483,Новчане казне и пенали по решењу судова и судских тела,,,,,0
,511,Зграде и грађевински објекти,,,,,0
,512,Машине и опрема,,,,,0
,541,Земљиште,,,,,0
,,Извори финансирања:,,,,,
,1,Приходе из буџета;,"2,339,200",,,,"2,339,200"
,2,Трансфере између корисника на истом нивоу;,,,,,0
,3,Социјалне доприносе;,,,,,0
,4,Сопствене приходе буџетских корисника;,,,,,0
,5,Донације од иностраних земаља;,,,,,0
,6,Донације од међународних организација;,,,,,0
,7,Донације од осталих нивоа власти;,,,,,0
,8,Донације од невладиних организација и појединаца;,,,,,0
,9,Примања од продаје нефинансијске имовине;,,,,,0
,10,Примања од домаћих задуживања;,,,,,0
,11,Примања од иностраних задуживања;,,,,,0
,12,Примања од отплате датих кредита и продаје финансијске имовине;,,,,,0
,13,Нераспоређени вишак прихода из ранијих година;,,,,,0
,14,Неутрошена средства од приватизације из претходних година;,,,,,0
,15,Неутрошена средства донација из претходних година;,,,,,0
,16,Родитељски динар за ваннаставне активности.,,,,,0
,,Укупно за центар,"2,339,200",,,,"2,339,200"
,,право на једнократну помоћ,,,,,
,411,Плате и додаци запослених,,,,,0
,412,Социјални доприноси на терет послодавца,,,,,0
,413,Накнаде у натури,,,,,0
,414,Социјална давања запосленима,,,,,0
,415,Накнаде за запослене,,,,,0
,416,"Награде, бонуси и остали посебни расходи",,,,,0
,421,Стални трошкови,,,,,0
,422,Трошкови путовања,,,,,0
,423,Услуге по уговору,,,,,0
,424,Специјализоване услуге,,,,,0
,425,Текуће поправке и одржавање (услуге и материјали),,,,,0
,426,Материјал,,,,,0
,472,Накнаде за социјалну заштиту из буџета,"5,000,000",,,,"5,000,000"
,482,"Порези, обавезне таксе и казне наметнуте од једног нивоа власти другом",,,,,0
,483,Новчане казне и пенали по решењу судова и судских тела,,,,,0
,511,Зграде и грађевински објекти,,,,,0
,512,Машине и опрема,,,,,0
,541,Земљиште,,,,,0
,,Извори финансирања:,,,,,
,1,Приходе из буџета;,"5,000,000",,,,"5,000,000"
,2,Трансфере између корисника на истом нивоу;,,,,,0
,3,Социјалне доприносе;,,,,,0
,4,Сопствене приходе буџетских корисника;,,,,,0
,5,Донације од иностраних земаља;,,,,,0
,6,Донације од међународних организација;,,,,,0
,7,Донације од осталих нивоа власти;,,,,,0
,8,Донације од невладиних организација и појединаца;,,,,,0
,9,Примања од продаје нефинансијске имовине;,,,,,0
,10,Примања од домаћих задуживања;,,,,,0
,11,Примања од иностраних задуживања;,,,,,0
,12,Примања од отплате датих кредита и продаје финансијске имовине;,,,,,0
,13,Нераспоређени вишак прихода из ранијих година;,,,,,0
,14,Неутрошена средства од приватизације из претходних година;,,,,,0
,15,Неутрошена средства донација из претходних година;,,,,,0
,16,Родитељски динар за ваннаставне активности.,,,,,0
,,Укупно за право на једнократну помоћ,"5,000,000",,,,"5,000,000"
,,право на опрему и превоз корисника за смештај у установу социјалне заштите или другу породицу,,,,,
,411,Плате и додаци запослених,,,,,0
,412,Социјални доприноси на терет послодавца,,,,,0
,413,Накнаде у натури,,,,,0
,414,Социјална давања запосленима,,,,,0
,415,Накнаде за запослене,,,,,0
,416,"Награде, бонуси и остали посебни расходи",,,,,0
,421,Стални трошкови,,,,,0
,422,Трошкови путовања,,,,,0
,423,Услуге по уговору,,,,,0
,424,Специјализоване услуге,,,,,0
,425,Текуће поправке и одржавање (услуге и материјали),,,,,0
,426,Материјал,,,,,0
,472,Накнаде за социјалну заштиту из буџета,"300,000",,,,"300,000"
,482,"Порези, обавезне таксе и казне наметнуте од једног нивоа власти другом",,,,,0
