,Економска класификација,ОПИС,Приходи из буџета   ,Сопствени приходи ,Донације од осталих нивоа власти ,Остали,УКУПНО
,, СКУПШТИНА ОПШТИНЕ- ПРОГРАМ 15-ЛОК.САМОУПРАВА,,,0,,
,,Програмска активност 0001-Функционисање локалне самоуправе,,,,,
,,Извршни и законодавни органи,,,0,,
,411,Плате и додаци запослених,"4,048,580",,,,"4,048,580"
,412,Социјални доприноси на терет послодавца,"718,898",,,,"718,898"
,414,Социјална дав. запос.,"122,500",,,,"122,500"
,415,Накнаде трош. за запослене,"29,000",,,,"29,000"
,416,накнада за комисије,"1,000,000",,,,"1,000,000"
,417,Накнаде одборницима и рад скупш.одбора,"2,650,000",,,,"2,650,000"
,422,Трошкови путовања - дневнице,"552,500",,,,"552,500"
,423,Услуге  по  уговору,"2,125,000",,,,"2,125,000"
,444,Негативне курсне разлике,"10,000",,,,"10,000"
,465,Остале дотације и трансфери,"468,997",,,,"468,997"
,,Извори фин.0001,,,,,
,01,Приходи из буџета,"11,725,475",,,,"11,725,475"
,,УКУПНО ЗА ФУНКЦИЈУ 111,"11,725,475",,,,"11,725,475"
,,,,,,,
,,ПРЕДСЕДНИК ОПШ.ПРОГРАМ 15-ЛОКАЛНА САМОУПРАВА,,,,,
,,Прогрмска активн.0001-Функционисање локалне самоуправе,,,,,
,,Извршни и законодавни органи,,,,,
,411,Плате и додаци запослених,"2,990,000",,,,"2,990,000"
,412,Социјални доприноси на терет послод,"695,620",,,,"695,620"
,414,Социјална давања запослeним,"180,000",,,,"180,000"
,416,Накнаде за рад комисија,"100,000",,,,"100,000"
,421,Стални трошкови,"119,000",,,,"119,000"
,422,Трошкови путовања - дневнице,"700,000",,,,"700,000"
,423,Услуге по уговору ,"2,000,000",,,,"2,000,000"
,444,Негативне  курсне  разлике,"10,000",,,,"10,000"
,465,Остале дотације и трансфери,"500,000",,,,"500,000"
,,Извори фина.за функцију 110 Па-0001,,,,,
,01,Приходи из буџета,"7,294,620",,,,"7,294,620"
,,УКУПНО ЗА ГЛАВУ 2.00 ,"7,294,620",,,,"7,294,620"
,,,,,,,
,,КАНЦЕЛАРИЈА ЗА МЛАДЕ,,,,,
,,Програмска актив.0007-Канцеларија за младе,,,,,
,421,Стални трошкови,"36,000",,,,"36,000"
,422,Трошкови путовања,"85,000",,,,"85,000"
,423,Услуге по уговору,"2,102,165",,,,"2,102,165"
,425,Текуће поправке,"79,600",,,,"79,600"
,426,Материјал,"42,500",,,,"42,500"
,465,Остале дотације и трансфери,"41,500",,,,"41,500"
,481,Дот. за пројекте омлад. Удруженја,"950,000",,,,"950,000"
,,Извори финансирања за функцију 840 ПА-0007,,,,,
,01,Приходи из буџета,"3,336,765",,,,"3,336,765"
,,УКУПНО ЗА ГЛАВУ 2.01,"3,336,765",,,,"3,336,765"
,,УКУПНО ЗА ФУНКЦИЈУ 840,"3,336,765",,,,"3,336,765"
,,ОПШТИНСКО ВЕЋЕ ПРОГРАМ 15-ЛОКАЛНА САМОУПРАВА,,,,,
,,Програмска активност 0001-функционисање локалне самоуправе,,,,,
,,Извршни и законодавни   орган,,,,,
,411,Плате и додаци запослених,"8,957,714",,,,"8,957,714"
,412,Социјални доп.,"1,300,341",,,,"1,300,341"
,414,Социјална давања,"378,043",,,,"378,043"
,415,Накнаде за запослене,"160,000",,,,"160,000"
,416,Накнаде за рад комисија,"250,000",,,,"250,000"
,422,Трошкови путовања,"490,000",,,,"490,000"
,423,Услуге по уговору,"1,230,000",,,,"1,230,000"
,444,Негативне курсне разлике,"10,000",,,,"10,000"
,465,Остале дотације и трансф.,"1,091,302",,,,"1,091,302"
,,Извори финан. за функ. 110 -ПА0001,,,,,
,01,Приходи буџета,"13,867,400",,,,"13,867,400"
,,УКУПНО ЗА ГЛАВУ 3.00,"13,867,400",,,,"13,867,400"
,,УКУПНО ЗА ФУНКЦИЈУ 110,"21,162,020",,,,"21,162,020"
,,,,,,,
,,ОПШТИНСКА  УПРАВА ПРОГРАМ 15-ЛОКАЛНА САМОУПРАВА,,,,,
,,Програмска активност 0001-Функционисање локалне самоуправе,,,,,
,411,Плате и додаци запослених,"52,735,149",,,,"52,735,149"
,412,Социјални доприноси на терет посл,"9,174,750",,,,"9,174,750"
,413,Накнаде у натури,"322,800",,,,"322,800"
,414,Социјална давања запосленим,"4,587,434",,,,"4,587,434"
,415,Накнаде за запослене(превоз у готову),"2,000,000",,,,"2,000,000"
,416,"Награде, бонуси и остали рас.","1,000,000",,,,"1,000,000"
,421,Стални трошкови,"8,425,068",,,,"8,425,068"
,422,Трошкови путовања ,"1,032,960",,,,"1,032,960"
,423,Услуге по уговору,"3,066,600",,,,"3,066,600"
,424,Специјализоване услуге,"1,300,000",,,,"1,300,000"
,425,Текуће поправке и одржавање ,"1,200,000",,,,"1,200,000"
,426,Материјал,"4,728,305",,,,"4,728,305"
,444,Негативне курсне разлике,"10,000",,,,"10,000"
,465,Остале дотације и трансфери,"8,236,800",,,,"8,236,800"
,481,Дотације удружењима грађана,"10,329,778",,,,"10,329,778"
,482,"Порези, обавезне таксе и казне ","1,600,000",,,,"1,600,000"
,483,Новчане казне по решењу судова,"12,000,000",,,,"12,000,000"
,484,Нак.штете за елемен. или повреде,"5,000,000",,,,"5,000,000"
,485,"Накнада за штете нанете од стране држав.органа,повреде ","5,000,000",,,,"5,000,000"
,499,Текућа буџетска  резерва ,"19,000,000",,,,"19,000,000"
,499,Стална буџетска  резерва,"4,250,000",,,,"4,250,000"
,511,Зграде и грађевински објекти,"2,000,000",,,,"2,000,000"
,512,Машине и опрема,"3,000,000",,,,"3,000,000"
,513,Остала   основна  средства,"100,000",,,,"100,000"
,,Извори финан.за ПА 0001,,,,,
,01,Приходи из буџета,"160,099,644",,,0.00,"160,099,644"
,,,,,,,
,,Програмска активност 0008-Програми националних мањина,,,,,
,481,Дотације удружењима,"1,000,000",,,,"1,000,000"
,,Извори финан.за ПА-0008,,,,,
,01,Приходи из буџета,"1,000,000",,,,"1,000,000"
,,УКУПНО ЗА ФУНКЦИЈУ 130,"161,099,644",,,,"161,099,644"
,,УКУПНО ЗА ГЛАВУ 4.00,"161,099,644",,,0.00,"161,099,644"
,,,,,,,
,,ОСНОВНО ОБРАЗОВАЊЕ ПРОГРАМ 9,,,,,
,,Програмска активност-Функционисање основних школа,,,,,
,463,Tрансфери осталим нивоима власти,"89,435,971",,,,"89,435,971"
,,Извори финан. ПА-0001,,,,,
,01,Приходи из буџета,"89,435,971",,,,"89,435,971"
,,УКУПНО ЗА  ФУНКЦИЈУ 912,"89,435,971",,,,"89,435,971"
,,УКУПНО ЗА  ГЛАВУ 4.01,"89,435,971",,,,"89,435,971"
,,,,,,,
,,СРЕДЊЕ ОБРАЗОВАЊЕ ПРОГРАМ 10,,,,,
,,Програмска активност-Функц.средњих школа,,,,,
,463,Tрансфери осталим нивоима власти,"40,968,539",,,,"40,968,539"
,,Извори финан.ПА-0001,,,,,
,01,Приходи из буџета,"40,968,539",,,,"40,968,539"
,,УКУПНО ЗА ФУНКЦИЈУ 920,"40,968,539",,,,"40,968,539"
,,УКУПНО ЗА  ГЛАВУ 4.02,"40,968,539",,,,"40,968,539"
,,,,,,,
,,К У Л Т У Р А,,,,,
,,ДОМ   КУЛТУРЕ ПРОГРАМ 13-РАЗВОЈ КУЛТУРЕ,,,,,
,,Програмска активност 0001-Функционисање локалних установа културе,,,,,
,411,Плате и додаци запослених,"11,105,843","786,441",,,"11,892,284"
,412,Социјални допр. на терет послодавца,"1,959,855","174,342",,,"2,134,197"
,413,Накнаде у натури,"51,520","50,000",,,"101,520"
,414,Социјална давања запосленима,"1,030,608","224,635",,,"1,255,243"
,415,Накнаде за запослене,"315,200","50,000",,,"365,200"
,416,"Награде , бонуси и остали посеб. Расх","50,000","200,000",,,"250,000"
,421,Стални трошкови,"5,200,000","660,000",,,"5,860,000"
,422,Трошкови путовања,"129,120","550,000",,,"679,120"
,423,Услуге по уговору,"954,732","1,160,000",,,"2,114,732"
