,Економска класификација,ОПИС,Приходи из буџета   ,Сопствени приходи ,Донације од осталих нивоа власти ,Остали,УКУПНО
,411,Плате и додаци запослених,#REF!,#REF!,,,#REF!
,412,Социјални доприноси на терет послодавца,#REF!,#REF!,,,#REF!
,413,Плате и додаци запослених,#REF!,#REF!,,,#REF!
,414,Социјална давања запосленима,#REF!,#REF!,"2,500,000.00",,#REF!
,415,Накнаде за запослене (превоз у готову),#REF!,#REF!,,,#REF!
,416,"Награде, бонуси и остали",#REF!,#REF!,,,#REF!
,417,Посланички додатак,#REF!,,,,#REF!
,41,РАСХОДИ ЗА ЗАПОСЛЕНЕ,#REF!,"4,281,978","2,500,000",,#REF!
,,,,,,,
,421,Стални трошкови,#REF!,#REF!,"6,220,000.00",,#REF!
,422,Трошкови служб.путов. ,#REF!,#REF!,"2,700,000","100,000",#REF!
,423,Услуге по уговору,#REF!,#REF!,,"500,000.00",#REF!
,424,Специјализоване услуге,#REF!,#REF!,,,#REF!
,425,Текуће поправке и одржавање ,#REF!,#REF!,,,#REF!
,426,Материјал,#REF!,#REF!,"1,580,000","250,000",#REF!
,42,КОРИШЋЕЊЕ РОБА И УСЛУГА,#REF!,#REF!,"13,000,000","850,000",#REF!
,444,нег. курсне разлике,#REF!,,,,#REF!
,44,НЕГ. КУРС.РАЗЛИКЕ,#REF!,,,,#REF!
,451,Субвенције нефинансијским организацијама,#REF!,,,,#REF!
,454,Субвенције привреди,#REF!,,,,#REF!
,45,СУБВЕНЦИЈЕ,#REF!,,,,#REF!
,,,,,,,
,463,Дотације и трансфери осталим нивоима,#REF!,,,,#REF!
,465,Дотације,#REF!,"288,022",,,#REF!
,46,ДОТАЦИЈЕ ИЗ БУЏЕТА,#REF!,,,,#REF!
,,,,,,,
,472,Социјална давања из буџета,#REF!,,,,#REF!
,47,СОЦИЈАЛНЕ ПОМОЋИ,#REF!,"288,022",,,#REF!
,,,,,,,
,481,Дотације невладиним организацијама,#REF!,,,,#REF!
,482,"Порези, обавезне таксе и казне ",#REF!,"100,000",,,#REF!
,483,Новчане казне и пен. по решењу судова,#REF!,"70,000",,,#REF!
,484,Eлем.и др.непогоде,#REF!,,,,#REF!
,485,Накнаде штете,#REF!,,,,#REF!
,48,ОСТАЛИ РАСХОДИ,#REF!,"170,000",,,#REF!
,,,,,,,#REF!
,499,Стална и текућа буџетска резерва,#REF!,,,,#REF!
,49,РЕЗЕРВЕ,#REF!,,,,"23,250,000"
,,,,,,,
,511,Основна средства ,#REF!,"2,500,000","500,000.00",,#REF!
,512,Машине и опрема,#REF!,"2,000,000",,,#REF!
,513,Набавка софтвера,#REF!,,,,#REF!
,514,Набавка осн.сред.за пољоп.,#REF!,,,,#REF!
,515,Књиге у библиотеци,#REF!,,,,#REF!
,541,Откуп земљишта,#REF!,,,,#REF!
,51,ОСНОВНА СРЕДСТВА У ИЗГРАДЊИ,#REF!,"4,500,000","500,000.00",,#REF!
,,укупно расходи,#REF!,#REF!,"13,500,000","850,000",#REF!
,,,,,,,
,,СКУПШТИНА ГРАДА,,,,,
,,ПРОГРАМ 15: ЛОКАЛНА САМОУПРАВА,,,,,
,,Програмска активност: Функционисање локалне самоуправе и градских општина,,,,,
,,"Функција: Извршни и законодавни органи, финансијски и фискални послови и спољни послови",,,,,
,411,"Плате, додаци и накнаде запослених (зараде)","10,000,000",,,,"10,000,000"
,412,Социјални доприноси на терет послодавца,"1,800,000",,,,"1,800,000"
,414,Социјална давања запосленима,"30,000",,,,"30,000"
,417,Посланички додатак,"5,800,000",,,,"5,800,000"
,422,Трошкови путовања,"200,000",,,,"200,000"
,423,Услуге по уговору,"1,900,000",,,,"1,900,000"
,424,Специјализоване услуге,"1,000,000",,,,"1,000,000"
,426,Материјал,"900,000",,,,"900,000"
,465,"Остале донације, дотације и трансфери","1,238,000",,,,"1,238,000"
,481,Дотације невладиним организацијама - политички субјекти,"2,225,000",,,,"2,225,000"
,,Свега за програмску активност 0602-0001:,"25,093,000",,,,"25,093,000"
,,,,,,,
,,Пројекат: Прослава Дана особођења Града и државних празника,,,,,
,,"Функција: Извршни и законодавни органи, финансијски и фискални послови и спољни послови",,,,,
