,Економска класификација,ОПИС,Приходи из буџета   ,Сопствени приходи ,Донације од осталих нивоа власти ,Остали,УКУПНО,
,41,РАСХОДИ ЗА ЗАПОСЛЕНЕ,"235,801,290",,,0,"235,801,290",
,411,Плате и додаци запослених,"177,837,000",,,,"177,837,000",
,412,Социјални доприноси на терет послодавца,"32,195,690",,,,"32,195,690",
,413,Накнаде у натури ( превоз ),"8,360,000",,,,"8,360,000",
,414,Социјална давања запосленима,"8,188,000",,,,"8,188,000",
,415,Накнаде за запослене,"480,000",,,,"480,000",
,416,"Награде, бонуси и остали посебни расходи","8,740,600",,,,"8,740,600",
,42,КОРИШЋЕЊЕ РОБА И УСЛУГА,"114,132,142",,,"20,879,249","135,011,391",
,421,Стални трошкови,"37,075,000",,,"6,000,000","43,075,000",
,422,Трошкови путовања и превоз деце,"7,637,000",,,"25,000","7,662,000",
,423,Услуге по уговору,"34,231,142",,,"2,158,432","36,389,574",
,424,Специјализоване услуге,"7,410,000",,,"10,872,817","18,282,817",
,425,Текуће поправке и одржавања,"13,718,000",,,,"13,718,000",
,426,Материјал,"14,061,000",,,"1,823,000","15,884,000",
,44,ОТПЛАТА КАМАТА,"20,000,000",,,"4,000,000","24,000,000",
,441,Отплата камата домаћим пословним банкама,"20,000,000",,,"4,000,000","24,000,000",
,46,"ДОНАЦИЈЕ ,ДОТАЦИЈЕ И ТРАНСФЕРИ","64,287,160",,,0,"64,287,160",
,463,Текући трансфер,"500,000",,,,"500,000",
,465,Остале дотације и трансфери,"63,787,160",,,,"63,787,160",
,51,ОСНОВНА СРЕДСТВА,"10,616,388",,,"6,100,000","16,716,388",
,511,Зграде и грађевински објекти,"4,720,000",,,"3,000,000","7,720,000",
,512,Машине и опрема,"3,300,000",,,"3,100,000","6,400,000",
,515,Остала основна средства,"2,596,388",,,0,"2,596,388",
,47,ПРАВА ИЗ СОЦИЈАЛНОГ ОСИГУРАЊА,"6,640,000",,,,"6,640,000",
,472,Накнаде за социјалну помоћ из буџета,"6,640,000",,,,"6,640,000",
,48,ОСТАЛИ РАСХОДИ,"47,277,490",,,0,"47,277,490",
,481,Дотације невладиним организацијама:,"4,250,490",,,,"4,250,490",
,482,"Порези, таксе, казне наметнуте од власти","43,027,000",,,,"43,027,000",
,4821,Порез на додату вредност,"21,667,000",,,,"21,667,000",
,4822,Остали порези из групе 482,"17,910,000",,,,"17,910,000",
,4831,Новчане казне по решењу суда,"3,450,000",,,,"3,450,000",
,61,ОТПЛАТА ГЛАВНИЦЕ,"35,000,000",,,"4,000,000","39,000,000",
,611,Отплата главнице домаћим пословним банкама,"35,000,000",,,"4,000,000","39,000,000",
,49,РЕЗЕРВА,"6,200,000",,,0,"6,200,000",
,499,Стална резерва**,"300,000",,,0,"300,000",
,499,Текућа резерва***,"5,900,000",,,0,"5,900,000",
,,УКУПНИ РАСХОДИ,"539,954,470",,,"34,979,249","574,933,719",
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,Звездара
